is_sleeping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,match_score,match_goals,match_assists,match_saves,match_shots,team,ping,boost_is_active,boost_amount,boost_pickup
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,180,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.0,-3840.0,17.01,0.0,0.0,0.27,0.70710146,-0.0033744453,0.0033744453,0.707096,-0.00059999997,0.0,0.0,255,255,,,,,,,15,8,,33.333332,0
0,-256.09,-3839.69,17.01,-6.66,24.74,0.27,0.7062706,-0.0033744453,0.0033744453,0.7079259,0.0001,0.0014,0.186,255,255,,,,,,,15,8,,33.333332,0
0,-256.09,-3839.69,17.01,-6.66,24.74,0.27,0.7062706,-0.0033744453,0.0033744453,0.7079259,0.0001,0.0014,0.186,255,255,,,,,,,15,8,,33.333332,0
0,-258.08,-3832.11,17.01,-38.27,143.57,0.27,0.6873779,-0.0034122088,0.0033151025,0.7262844,0.0001,0.00059999997,0.9596,255,255,,,,,,,15,8,,33.333332,0
0,-258.08,-3832.11,17.01,-38.27,143.57,0.27,0.6873779,-0.0034122088,0.0033151025,0.7262844,0.0001,0.00059999997,0.9596,255,255,,,,,,,15,8,,33.333332,0
0,-263.09,-3815.14,17.01,-80.33,250.27,0.27,0.6478339,-0.0035794475,0.0031262846,0.7617668,0.0,0.0,1.5026,255,255,,,,,,,15,8,,33.333332,0
0,-264.56,-3810.72,17.01,-91.25,269.57,0.27,0.6378319,-0.003622606,0.0030777315,0.7701609,0.0,-0.0001,1.5881,255,255,,,,,,,15,8,,33.333332,0
0,-264.56,-3810.72,17.01,-91.25,269.57,0.27,0.6378319,-0.003622606,0.0030777315,0.7701609,0.0,-0.0001,1.5881,255,255,,,,,,,15,8,,33.333332,0
0,-273.85,-3787.22,17.01,-153.03,345.29,0.27,0.5854104,-0.0038168186,0.0028187812,0.81072325,0.0,-0.00029999999,1.8933,255,255,,,,,,,15,8,,33.333332,0
0,-273.85,-3787.22,17.01,-153.03,345.29,0.27,0.5854104,-0.0038168186,0.0028187812,0.81072325,0.0,-0.00029999999,1.8933,255,255,,,,,,,15,8,,33.333332,0
0,-290.7,-3755.6,17.01,-245.76,402.58,0.27,0.51516455,-0.004038005,0.0024735143,0.8570782,0.0,-0.0005,2.1071,255,255,,,,,,,15,8,,33.333332,0
